date,hullCode,radioCode,name,owner,length,width,position
51,2341,,FRANCE,CGT,300,,A
51,5232,,FOCH,Marine Nationale,250,,G
51,,,WICKED WENCH,Edward Teague,30,,Q
52,,55535039,FRANCE,,300,33,B
52,5232,55043533,,,250,33,H
52,1234,,WICKED WENCH,,,,K
53,2341,55535039,FRANCE,,,,C
53,,,SÃO PAULO,,250,,I
53,1234,75647456,BLACK PEARL,,,10,H
54,2341,96850632,NORWAY,NCL,,,D
54,5232,23494849,SÃO PAULO,Narinha do Brasil,250,33,J
54,,75647456,BLACK PEARL,Jack Sparrow,,,X
55,,96850632,,,,,E
56,,96850632,,,310,33,F
